timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
9.71852,1.93212,-1.72861,9.84735,0.16281,0.16401,-0.89651,,,,
9.75815,0.31843,1.07021,9.15303,-0.20371,0.02278,-0.94834,,,,
9.79779,0.88346,0.11492,9.36372,-0.17027,-0.00386,-1.42877,,,,
9.83743,-0.60094,0.93853,10.21127,0.23569,0.06555,-1.31393,,,,
9.87707,2.39899,-2.75333,10.57998,0.13177,0.16134,-1.4798,,,,
9.91671,2.37744,-2.47082,8.11156,0.01372,0.22103,-1.75186,,,,
9.95635,-0.26097,0.38786,9.39964,-0.17067,0.01998,-1.6558,,,,
9.99599,-0.75417,-0.66559,9.20331,-0.02118,0.12963,-1.35962,,,,
10.03563,0.91459,-1.95846,9.51456,-0.12737,0.01585,-1.21987,,,,
10.07527,1.74058,-0.05028,9.68933,-0.0814,0.09952,-1.60051,,,,
10.11492,-1.62087,3.54821,10.24239,0.0846,-0.08034,-1.39453,,,,
10.15456,1.21386,-0.18435,9.07881,-0.19558,0.10752,-1.40919,,,,
10.19419,1.40061,-1.30963,9.83777,-0.12843,0.06742,-1.47807,,,,
10.23384,-0.52433,1.34554,9.65103,0.01679,0.00746,-1.50671,,,,
10.27349,-0.0814,1.81959,9.35893,0.12537,-0.13869,-1.22786,,,,
10.31313,3.03585,-2.36308,8.98304,-0.32455,0.13097,-1.49232,,,,
10.35278,1.91057,0.31125,8.61673,-0.09779,0.1804,-1.70882,,,,
10.39242,-1.07021,0.13408,11.49217,-0.10059,0.02585,-1.39426,,,,
10.43205,1.50356,-2.89698,9.46428,0.07314,0.26753,-1.59891,,,,
10.47169,-0.64165,-0.68953,11.54484,-0.22396,-0.01359,-1.72241,,,,
10.51133,-0.66798,-1.95367,10.60871,-0.33321,0.002,-1.82354,,,,
10.55097,2.34632,0.24421,10.86728,0.00306,0.19971,-2.13476,,,,
10.59061,3.45962,0.62489,7.79552,-0.28525,0.28858,-2.4841,,,,
10.63025,4.47955,1.8986,10.67335,-0.50481,0.37411,-2.61266,,,,
10.66989,4.74531,1.14203,10.07959,0.44193,0.37838,-2.49236,,,,
10.70953,2.64559,2.87304,6.38773,0.2133,-0.13776,-2.14929,,,,
10.74917,2.1452,-1.1133,11.19768,0.10232,0.02651,-1.48873,,,,
10.78882,-0.31125,-4.27604,11.20965,-0.08447,-0.05569,-1.13513,,,,
10.82846,0.56503,-0.17717,9.57441,0.43487,0.13336,-1.24891,,,,
10.86809,1.17555,-0.82121,9.69412,-0.22743,0.06462,-1.04107,,,,
10.90774,0.96247,1.24259,10.80264,0.1804,0.07701,-1.01109,,,,
10.94737,2.27689,1.17076,8.23845,0.04863,0.23622,-1.27889,,,,
10.98701,-0.86191,0.30406,8.86812,-0.31376,-0.24888,-0.86987,,,,
11.02666,0.48123,-1.10852,10.34056,0.07821,0.23049,-0.60793,,,,
11.0663,-0.09098,0.39025,9.30626,0.03451,-0.01399,-0.82577,,,,
11.10594,0.19872,-1.88184,8.52815,-0.20211,-0.07421,-0.82417,,,,
11.14558,-1.12527,0.0407,11.19768,-0.03544,-0.11471,-0.74743,,,,
11.18523,3.17232,0.826,12.37084,0.14802,0.09406,-1.02188,,,,
11.22487,2.806,0.96726,9.69891,0.02358,0.24941,-1.24478,,,,
11.26451,0.7422,-1.10852,8.1331,0.00293,0.17893,-1.30034,,,,
11.30415,-1.35033,-0.20351,7.12275,-0.14362,0.01346,-1.06798,,,,
11.34378,0.08619,0.21308,10.74278,0.10832,0.05822,-1.08917,,,,
11.38342,2.96642,-0.38547,6.60081,-0.06462,0.24048,-1.57359,,,,
11.42306,-0.69192,0.5363,10.06762,-0.23156,0.07954,-1.3114,,,,
11.4627,-0.11492,2.10211,12.8401,-0.14975,-0.05396,-1.4734,,,,
